ID,owner_ID,name,breed,weight,color,dateOfBirth,licenseNo,notes
6114e615-d2a5-477d-b13a-497d72c7a2f6,61921f30-75e2-4fc5-aff0-0a060b20aeb1,Ruby,Beagle,14,black,2020-02-02,LIC-92399,
ede1b620-63c5-4ca3-90d8-18fd8d6deb37,53fb7e9d-4338-479e-90f4-3b1f1899c2e6,Toby,Labrador,10,tan,2021-04-05,LIC-67217,
56f50e57-6a46-4ead-a941-b459dff2de2a,3d429b80-bea6-4166-88b5-abaa8988e7f0,Rosie,Beagle,49,grey,2017-09-11,LIC-32417,
ad0e28c7-3edd-45b9-92b5-6818d25a907a,34a9dd8d-79d1-4075-99d6-62c90cbd193c,Sadie,Great Dane,16,red,2019-05-22,LIC-10415,
e046f3f9-fcf0-4992-a5be-d0af4bacf3b9,5602ea69-4697-4453-b9e5-773d206339f5,Murphy,Rottweiler,11,brindle,2017-01-02,LIC-89513,
4d56093f-1a0c-4bf5-8cc7-4dc187492324,5291b8f1-33b3-4bbf-89d4-a37bdaee4dd0,Luna,Dachshund,46,golden,2016-08-09,LIC-25743,
61b10704-6d04-4d9e-869e-a2d29c8baf82,46bf9ead-138e-4ab0-a0ac-da77bb47831a,Charlie,German Shepherd,15,cream,2022-02-01,LIC-52270,
ef07a207-2f30-400f-a9c3-89e8dccf1a2d,2a1c8f4c-106d-45d6-9d3f-e15ed162b0bf,Ruby,Siberian Husky,20,tan,2017-12-07,LIC-25006,
fb8b9dfb-d3a7-4a7d-9aa3-2ce4f06c1e8c,fc7cea60-f857-4e61-b0c0-472af3f5a752,Rocky,Bulldog,5,brindle,2020-06-19,LIC-33954,
f28f7f20-c12f-4dc7-bb08-84f635ccaced,03462573-52c9-4ba0-ac3c-0040bfacd345,Duke,Great Dane,50,spotted,2015-12-04,LIC-60344,
746bdc8c-7db9-44d0-940c-8a9ee253bf91,c973261d-1cb4-42d6-91b0-b9850e0b3ffa,Leo,Golden Retriever,19,red,2020-07-13,LIC-51955,
bace65b1-85d3-4385-806e-49792ac988a7,e881aa0b-50ae-4fef-a8bf-f3c91cddca83,Sadie,German Shepherd,21,brown,2022-06-14,LIC-60636,
c5d03354-c2c8-415e-adc3-9be5dfce9cda,d1f47ad8-bbfe-4446-b8c5-ce8fcc68b90b,Lily,French Bulldog,49,black,2019-01-02,LIC-26156,
dbb6e1c3-e68a-40b2-88f8-4a77cfa08a6b,1610c02b-3b96-4808-9194-a88f81e325c3,Luna,Great Dane,47,brindle,2015-05-11,LIC-32345,
